FID,nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,id_gestor,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc,prec_geom,dependenci,dependen_1,dependen_2,dependen_3,dependen_4,dependen_5,dependen_6,dependen_7,dependen_8,dependen_9,geom
Dependencias.2260,LA MAGDALENA,05249,087400100,P,EX,AE,330215,,33150,AD,242757.3615,4827842.5687,16,33,0,AE,P,EX,33,330215,33150,AD,087400100,LA MAGDALENA,0,POINT (242757.36149999965 4827842.568700001)
Dependencias.2261,LA MARUCA MERCANCIAS,05223,087500010,E,EX,AS,330045,,33401,AD,263686.6284,4828503.5592,16,33,0,AS,E,EX,33,330045,33401,AD,087500010,LA MARUCA MERCANCIAS,0,POINT (263686.6283999998 4828503.5592)
Dependencias.2262,LA MATA DE LA RIBA,05793,087900030,P,EX,AE,241993,,24152,AD,308867.0357,4747766.5658,16,24,0,AE,P,EX,24,241993,24152,AD,087900030,LA MATA DE LA RIBA,0,POINT (308867.0356999999 4747766.5658)
Dependencias.2263,LA QUADRA,05465,087800080,P,EX,AE,480451,,48840,AD,497975.081,4785549.1217,16,48,0,AE,P,EX,48,480451,48840,AD,087800080,LA QUADRA,0,POINT (497975.08100000024 4785549.1217)
Dependencias.2264,LA RAYA,05794,087900010,P,EX,AE,242225,,24193,AD,290359.7938,4723794.0353,16,24,0,AE,P,EX,24,242225,24193,AD,087900010,LA RAYA,0,POINT (290359.7938000001 4723794.0353)
Dependencias.2265,LA UNION,05965,083600010,E,EX,AE,300413,,30360,AD,687541.0844,4165284.0417,16,30,0,AE,E,EX,30,300413,30360,AD,083600010,LA UNION,0,POINT (687541.0844 4165284.0417)
Dependencias.2266,LA UNION VIEJA,05963,083600010,P,EX,AE,300413,,30360,AD,686958.9961,4165260.0862,16,30,0,AE,P,EX,30,300413,30360,AD,083600010,LA UNION VIEJA,0,POINT (686958.9961000001 4165260.0862000007)
Dependencias.2267,LA VALCUEVA,05769,087900030,P,EX,AE,240981,,24830,AD,296789.0229,4747122.6612,16,24,0,AE,P,EX,24,240981,24830,AD,087900030,LA VALCUEVA,0,POINT (296789.0229000002 4747122.6612)
Dependencias.2268,LA VECILLA,05767,087900030,E,EX,AE,241937,,24840,AD,302929.1739,4747543.5942,16,24,0,AE,E,EX,24,241937,24840,AD,087900030,LA VECILLA,0,POINT (302929.1738999998 4747543.5942)
Dependencias.2269,LABACENGOS,05123,087400030,P,EX,AE,150490,,15563,AD,97782.9003,4835658.1179,16,15,0,AE,P,EX,15,150490,15563,AD,087400030,LABACENGOS,0,POINT (97782.90029999986 4835658.117900001)
